species,mean_brain,diet_category,per_fruit,mean_groupsize,social_system,mating_system,tool_type,body_weight,infraorder,superfamily,family,prey,prey_order,prey_family,use_tools,genus,meat_eater
propithecus_coquereli,31.2810876,NA,NA,NA,NA,NA,NA,NA,strepsirrhini,lemuriformes,indriidae,NA,NA,NA,0,propithecus,0
propithecus_deckenii,31.6,NA,NA,NA,NA,NA,NA,NA,strepsirrhini,lemuriformes,indriidae,NA,NA,NA,0,propithecus,0
propithecus_diadema,41.23209679560062,Fol,20,5.55,polygynandry,polygynandry,NA,7500,strepsirrhini,lemuriformes,indriidae,NA,NA,NA,0,propithecus,0
propithecus_verreauxi,26.92464732,Fol,41,6.016666666666667,polygynandry,polygynandry,NA,3389.42,strepsirrhini,lemuriformes,indriidae,NA,NA,NA,0,propithecus,0
pygathrix_nemaeus,86.34772434720722,Fol,NA,20.96,polygynandry,harem polygyny,NA,9250.366666666667,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,pygathrix,0
rhinopithecus_bieti,NA,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,cercopithecidae,"aves, mammalia","NA, rodentia","NA, Anomaluridae",0,rhinopithecus,1
rhinopithecus_roxellana,118.50401686666669,NA,NA,110,NA,NA,NA,NA,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,rhinopithecus,0
saguinus_fuscicollis,7.704136489430297,Om,60.4,5.7,pair,polyandry,NA,406.83,haplorrhini,simmiformes,callitrichidae,"amphibia, squamata, aves","anura, squamata, NA",NA,0,saguinus,1
saguinus_geoffroyi,15.561310397994598,Om,NA,5.15,pair,monogamy,NA,495.9,haplorrhini,simmiformes,callitrichidae,NA,NA,NA,0,saguinus,0
saguinus_imperator,NA,NA,NA,4,NA,NA,NA,NA,haplorrhini,simmiformes,callitrichidae,"amphibia, squamata","anura, squamata",NA,0,saguinus,1
saguinus_leucopus,10.025625896835876,NA,NA,8.5,NA,NA,NA,NA,haplorrhini,simmiformes,callitrichidae,NA,NA,NA,0,saguinus,0
saguinus_midas,10.211350529823068,Om,69,5,pair,polyandry,NA,551.4533333333333,haplorrhini,simmiformes,callitrichidae,NA,NA,NA,0,saguinus,0
saguinus_mystax,11.51908789533378,Om,NA,5.3,NA,NA,NA,541.2185714285714,haplorrhini,simmiformes,callitrichidae,"amphibia, squamata","anura, NA, squamata","Hylabatidae, NA",0,saguinus,1
saguinus_niger,16.2,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,callitrichidae,NA,NA,NA,0,saguinus,0
saguinus_oedipus,9.754158746019286,Om,NA,6.053636363636364,pair,polyandry,NA,388.84666666666664,haplorrhini,simmiformes,callitrichidae,"amphibia, squamata","anura, squamata",NA,0,saguinus,1
saimiri_boliviensis,25.329938453180745,Om,NA,20,NA,NA,NA,707.225,haplorrhini,simmiformes,cebidae,"squamata, amphibia, aves","squamata, anura, NA",NA,0,saimiri,1
saimiri_cassaquiarensis,NA,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,cebidae,vertebrata,NA,NA,0,saimiri,1
